doc_id,accident_id,text,event_polarity,topic_id
0,1,sustained no damage when it lost directional control and exited the taxiway while taxiing from landing at the Lincoln Airport (LNK),NEGATIVE,5
1,1,The airplane exited the taxiway to the left into the mud and snow.,NEGATIVE,9
2,10,"she slipped and fell. The flight attendant said there was glycol on the floor, and she must have slipped on it",NEGATIVE,1
3,100,"a Saab 340B, N452XJ, operated by Mesaba Airlines as Flight 3194, diverted to Cherry Capital Airport (KTVC), Traverse City, Michigan, because of a medical emergency involving the sole flight attendant aboard the flight.",NEGATIVE,0
4,100,"One of the passengers answered the cabin PA phone and reported that the flight attendant was ""no longer coherent"" and was performing ""numerous unusual activities.""",NEGATIVE,1
5,101,"encountered severe turbulence that resulted in multiple injuries, while at an altitude of 36,000 feet.",NEGATIVE,7
6,101,"upon reaching 36,500 feet, it encountered severe turbulence which lasted about 5 seconds.",NEGATIVE,7
7,102,"encounter severe turbulence during cruise at FL300. Of the 50 passengers and 3 crew members onboard, one flight attendant (FA) received serious injuries and one passenger received minor injuries.",NEGATIVE,7
8,102,The FA was unable to continue her duties and directed a passenger on how to use the intercom to communicate with the flight crew.,NEGATIVE,-1
9,102,but the flight attendant was diagnosed with a fractured vertebrae.,NEGATIVE,1
10,104,"a Boeing 717-200, N994AT, operated by Airtran Airways as flight 163, encountered convective turbulence while climbing through flight level 250 near Inverness, Florida.",NEGATIVE,0
11,104,"As the airplane passed through flight level 250, still in instrument meteorological conditions, it encountered turbulence for approximately 15 seconds.",NEGATIVE,7
12,104,"At the time of the turbulence encounter, the lead attendant was in the galley, and he ""came off the floor about a foot.""",NEGATIVE,1
13,105,"a Bombardier DHC-8-200, N367PH, fuselage tail section was substantially damaged.",NEGATIVE,2
14,105,The damage was consistent with tail strike damage during operation of the airplane and had resulted in a puncture of the pressure vessel of the airplane.,NEGATIVE,2
15,106,"On September 3, 2009, a JetBlue Airways Embraer ERJ-190 airplane, N258JB, powered by two General Electric (GE) CF34-10E6 turbofan engines, experienced an engine fire after landing at the Nassau International Airport, Nassau, Bahamas (national airspace system). According to flight crew and digital flight data recorder information, a No. 1 engine fire master warning occurred during the landing rollout.",NEGATIVE,0
16,106,Eight minor injuries were reported.,NEGATIVE,1
17,106,A gap was also evident between the B-nut and top of the ferrule.,NEGATIVE,8
18,106,The X-rays showed one-thread engagement on the outboard side of the B-nut.,NEGATIVE,8
19,106,"When the B-nut was moved away from the ferrule, a small amount of debris and a piece of material consistent in appearance and dimension with the secondary seal O-ring was found on the fitting, above the threads.",NEGATIVE,8
20,106,ure to install the HPTACC tubes on the fittings before tightening the HPTACC tube clamps.,NEGATIVE,8
21,106,the CF34-10E engine manual (EM) does not call out the installation of the O-rings during installation of the HPTACC valve.,NEGATIVE,8
22,107,"On September 8, 2009, approximately 1154 Pacific Daylight Time (PDT), Southwest Airlines (SWA) Flight 341, a Boeing 737-3G7, N670SW, experienced a failure of the inboard axle on the right main landing gear (RMLG) during landing on runway 24R at Los Angeles International Airport (LAX).",NEGATIVE,0
23,107,"According to the captain, he felt the aircraft swerve during the landing rollout and stopped the airplane on the taxiway.",NEGATIVE,5
24,107,"The RMLG inboard wheel and brake assembly separated from the aircraft and was recovered on the north side of the runway near the 4,000 feet remaining marker.",NEGATIVE,3
25,107,The inboard axle exhibited a fracture that emanated from the bolt hole at the 12:00 position in the brake mounting flange.,NEGATIVE,6
26,107,The fracture exhibited surface features consistent with fatigue propagation for approximately 3.5 inches.,NEGATIVE,6
27,107,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,NEGATIVE,8
28,107,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,NEGATIVE,8
29,107,The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.,NEGATIVE,8
30,108,the Passenger Address System was intermittent and then inop,NEGATIVE,1
31,108,the left side oxygen masks deployed,NEGATIVE,16
32,108,"a sulphur smell was observed, but no smoke",NEGATIVE,16
33,108,found a wire bundle which had numerous fractured and melted wires,NEGATIVE,10
34,108,with soot on the bundle and immediate area,NEGATIVE,10
35,108,There were also signs of chaffing on a piece of support structure near the cable routing,NEGATIVE,10
36,108,A review of the Boeing wire installation drawings revealed that the damaged wire bundle was routed incorrectly and not properly secured,NEGATIVE,10
37,109,"On September 17, 2009, a Boeing 767-400 experienced a fracture of the left main landing gear (main landing gear) truck beam while the aircraft was stopped on a taxiway D with parking brake set prior to takeoff at Newark Liberty International Airport (EWR).",NEGATIVE,3
38,109,Examination of the fracture surface after of the pivot bushing revealed intergranular stress corrosion cracking (SCC) emanating from a corrosion pit on the lower inside diameter of the truck beam.,NEGATIVE,6
39,109,The fracture forward of the pivot bushing was consistent with overstress.,NEGATIVE,6
40,109,Primer was missing on the truck beam inner surface along the bottom and up the sides after of the pivot bushing and along the top forward of the pivot bushing exposing bare metal.,NEGATIVE,6
41,109,In adjacent regions the primer was peeling or blistering.,NEGATIVE,-1
42,109,The after drain hole was plugged by an unidentified substance.,NEGATIVE,8
43,109,The long term exposure to hydraulic fluid and deicing fluid led to delamination of the CIC and primer from the interior surface leading to corrosion of the cadmium plating.,NEGATIVE,6
44,109,Liberated corrosion and delamination products plugged the after drain hole trapping more water inside the truck beam that lead to pitting corrosion on the lower inside diameter of the truck beam after of the pivot bushing.,NEGATIVE,6
45,109,trapping more water inside the truck beam that lead to pitting corrosion on the lower inside diameter of the truck beam after of the pivot bushing.,NEGATIVE,6
46,109,The tensile stress and the presence of water led to intergranular SCC.,NEGATIVE,6
47,109,"Once the crack grew to a critical size, a circumferential fracture occurred and separated the after portion of the truck beam.",NEGATIVE,6
48,109,The left main landing gear truck beam failed as a result of exposure to hydraulic fluid and/or deicing fluid on the truck beam interior surface.,NEGATIVE,3
49,109,The absorption of hydraulic fluid within the epoxy primer and CIC compromised the corrosion protection system.,NEGATIVE,6
50,109,The debris created by this breakdown clogged the drainage holes and allowed condensation to build inside the truck beam.,NEGATIVE,6
51,109,This moisture ultimately led to the corrosion and failure of the truck beam.,NEGATIVE,6
52,11,"On February 17, 2008, at 1019 EST, an Embraer E170, N828MD, operated by Republic Airlines as flight 3416 destined to Rochester, NY, collided during taxi in the runup area of taxiway J at the north end of runway 19, with an Airbus 319, N752US, operated by US Airways as flight 2166 destined to New York LaGuardia airport.",NEGATIVE,0
53,11,"The captain stated that he checked the proximity of the Airbus, and it looked like he could clear it and then felt the impact.",NEGATIVE,2
54,110,"a SAAB 340B aircraft, registered VH-SBA, experienced a failure of the left engine during initial climb out from Wagga Wagga Aerodrome",NEGATIVE,-1
55,110,"Subsequent inspection of the left engine indicated internal damage, specifically to the 1st stage compressor blisk airfoil section (blade)",NEGATIVE,15
56,110,all compressor blades were mechanically damaged,NEGATIVE,15
57,110,the 1st stage compressor blisk had 4 blades broken off at approximately mid span,NEGATIVE,15
58,110,while the others had tip damage and diameter reduction apparently from impact and trapping of debris,NEGATIVE,2
59,111,a flight attendant incurred serious injury while trying to stow a beverage cart during an encounter with turbulence.,NEGATIVE,1
60,111,"the cart as it often does, went to the side and not forward as I was trying to put it in its secured position. Unknown to me, when the cart went on [its] own route to the side and not forward it must have caused a whip lash.",NEGATIVE,5
61,111,The flight attendant's injuries consisted of two fractured ribs.,NEGATIVE,1
62,111,one recalled encountering an unexpected area of 'severe turbulence.',NEGATIVE,7
63,111,"one recalled encountering a 'patch of rough air,'",NEGATIVE,7
64,112,"a Boeing B767-332ER, N185DN, operating as Delta Air Lines flight 60 from Rio de Janeiro – Galeão – Antonio Carlos Jobim International Airport (SBGL was the International Civil Aviation Organization airport code, and GIG was the three letter International Air Transport Association airport code) to Atlanta Hartsfield International Airport (ATL) landed on taxiway ""M"" at ATL after being cleared to land on runway 27R.",NEGATIVE,0
65,112,"During the preflight activities, the check airman became ill with a gastrointestinal disorder.",NEGATIVE,1
66,112,but no formal pilot input was collected as part of the testing.,NEGATIVE,4
