topic_id,keywords,representative_document
0,"weather, area, radar, center, altimeter, fl, issue, airspace, heavy, route",work sector weather route adjacent sector sector southeast overly saturate complex sector hot restricted airspace sector ask provide staffing assist position non radar mexican airspace coordinate mazatlan center track sector sector northwest undetected adjacent sector northwest alert limited data block quickly frequency radar contact hand sector issue non radar south boarder coordination tracking procedure need establish
1,"procedure, check, door, pilot, open, weight, cargo, close, bag, agent",maintenance pad terminal open door notice yellow disarm handle expose fully upper window open disarm access door push handle slightly door open handle push disarm handle think door disarm apply pressure door open handle pop sound door open handle come unexpectedly door open door assist bottle air slide raft come door deploy girt bar attach door sill damage
2,"crew, receive, operation, dispatch, information, send, load, plan, contact, number",preflight receive acar expect notoc notice crew message receive notoc query confirm load ask confirm accordance fom crew chief cancel notoc receive verbal confirmation load receive confirmation notoc cancel accordance fom receive notoc cancellation message acar accordance fom contact station operation unable assist produce notoc cancellation message contact dispatch dispatcher helpful fact dispatcher inform year dispatcher captain insist receive notoc cancellation message require fom central send message acar inform load message contain verbiage find fom cancellation ultimately contact director operation director operation authorize depart send email text message confirmation authorization message send acar text message comport text find fom refuse depart receive notoc cancellation message require fom incur delay able send acar require notoc cancellation message department include ground support station operation dispatch aware fom requirement receive notoc cancellation message know cancel notoc generate notoc cancellation message department train requirement cancel notoc process generate require notoc cancellation message
3,"xx, tell, think, happen, ask, didn, need, day, know, try",leg day row half way realize fatigued fact ll understand following schedule past day est day leg try stay evening trip tired trip day day leg day early morning early day try bed soon home hour base hour frame catch employee bus drive home far ready try bed shower ready morning drive work catch employee shuttle don sleep bed previous day wake think fall asleep day leg hour base like day hour rest reduce considerably home wake think safe hour sleep day probably like hour actual sleep night day leg sit leg hour sit hour leg duty day schedule hour schedule hour rest van reduce rest thirty day leg tired previous day day start leg spend fatigue doubt glad abnormality leg recurrent ground school week nice fatigue video watch line ground school think video laugh way company thing video maybe people schedule watch early morning day late end early morning happen day start think big contributing factor fatigue leg
4,"passenger, attendant, cabin, captain, fire, gate, fa, smell, smoke, seat",passenger observe fa intoxicate passenger begin agitate passenger sit passenger stand aisle begin push cause disturbance attendant fa push passenger instruct sit seat sign passenger refuse sit captain ask announcement sign need seat fa notice passenger ignore captain request immediately captain tell disturbance passenger yell use inappropriate language hear cabin captain tell fa passenger cause disturbance phone talk captain tell passenger sit land remove police point passenger sit continue cause disturbance passenger captain inform captain tell land alternate remove police fa tell passenger sit light cigarette begin smoke smell smoke cabin captain inform passenger smoke captain tell smell passenger cigarette continue smoke land police escort passenger
5,"checklist, flap, zzz, land, gear, normal, captain, complete, hydraulic, dispatch",approach land determine flap position indicator agree select position trail edge flap asymmetry decide good action execute climb safe altitude determine action configure land accomplish normally flap retract normally flap position indicator agree flap select reach safe altitude read trail edge flap disagree determine apply situation flap retract normally flap position indicator agree flap select ask vector configure normally flap position indicator agree select flap position execute normal landing issue
6,"approach, landing, runway, final, descend, visual, clear, controller, altitude, land",vector final visual condition base leg vector outside final approach fix egpws trigger final approach fix hiban visual high publish altitude egpws wudag altitude continue land incident entire approach fix altitude high vpa white light precision approach consideration reason perform
7,"speed, level, autopilot, captain, descent, pf, pilot, fl, airspeed, control",vector direct rfd vor fl clre fl select fl alt window pull alt knob select dsnd profile mode begin dscnt fpm capture profile path dscnt rate increase fpm come fl pitch accelerate airspd dscnt rate note immediately disconnect autoplt pull nose arrest dscnt rate start clb reach fl clbe fl level engage autoplt continue normally fl btwn fl fl comment discuss surprised verify fl select alt window discussion believe cause prob input palt mode prior palt capture receive speed restr request input tact menu input fl fl wait fully capture palt
8,"zzz, find, item, inspection, manual, work, mechanic, damage, task, sign",line maintenance cfm fan blade replacement damage amt send zzz accomplish station qualified repair task rii qualification requirement note find accomplish cbt computer base training general knowledge date prior fan blade vibe repair research note find amm fan blade removal complete set use general information note rii qualification requirement rii item stage fan blade require rii install aren note qualification requirement cfm rii stage fan blade install aren rii qualification requirement cfm gpm aren rii qualification note aren note fan blade install amm task real qualification requirement send inspector formal classroom training lms line maintenance station qualification apply note location gpm amm need rii policy don exist removal procedure
9,"climb, altitude, zzzzz, arrival, direct, clearance, change, fix, clear, rnav",load fmc inadvertently load canarsie transition instead rngrr transition file breezy point climb vor course instead course corrective vector cri vor mistakenly think transition box canarsie notice rngrr end radial climb match transition point help ie rngrr climb instead breezy point climb match box ie canarsie climb canarsie transition rngrr climb rngrr transition
