topic_id,Count,Name,Representation,Representative_Docs,llm_label
-1,786,outlier,"['engine', 'left', 'crew', 'right', 'data', 'system', 'runway', 'control', 'fire', 'captain']","['According to flight data recorder data, at 00:30:57, the autopilot disconnected automatically, the flight crew took over manual control, and the master caution and master warning were recorded.', 'During landing gear retraction after takeoff, the Green hydraulic system lost pressure and the flight warning computer detected a flight control flaps system fault followed by a reservoir overheat condition for the Yellow hydraulic system 2 minutes later.', 'According to flight data recorder data, at 00:30:57, the autopilot disconnected automatically, the flight crew took over manual control, and the master caution and master warning were recorded.']",outlier
0,360,topic_0,"['international', 'airlines', 'boeing', 'experienced', 'boeing 737', '737', 'air', 'runway', 'standard', 'daylight']","['On December 24, 2010, a Southwest Airlines (SWA) Boeing 737-7H4, registration number N248WN, powered by two CFM56-7B24 turbofan engines, experienced an in-flight fire after departure from the San Francisco International Airport (SFO), California.', 'On April 3, 2024, about 08:20 eastern daylight time, Southwest Airlines (SWA) flight 4273, a Boeing 737-700, experienced turbulence while enroute between Louis Armstrong New Orleans International Airport (MSY), New Orleans, Louisiana and Orlando International Airport (MCO), Orlando, Florida. Of the 5 crew and 140 passengers onboard, one flight attendant and one passenger sustained serious injuries, and one flight attendant sustained minor injuries.', 'On November 20, 2014, about 2000 central standard time, Southwest Airlines flight 8751, a Boeing 737-700, registration N263WN, collided with Southwest Airlines flight 301, a Boeing 737-800.']",Runway Excursion
1,316,topic_1,"['attendant', 'injured', 'passenger', 'injuries', 'floor', 'galley', 'passengers', 'fell', 'one', 'thrown']","['The first officer and 2 of the 28 passengers sustained minor injuries, and the captain, the flight attendant, and 26 passengers were not injured.', '1 passenger received a serious injury and 1 flight attendant and 19 passengers received minor injuries during the evacuation', '1 passenger received a serious injury and 1 flight attendant and 19 passengers received minor injuries during the evacuation']",Passenger Fell
2,220,topic_2,"['damage', 'wing', 'stabilizer', 'substantial', 'right', 'substantial damage', 'skin', 'fuselage', 'left', 'horizontal']","['Examination of the aircraft after landing revealed substantial damage to the forward pressure bulkhead and minor damage to the right engine.', 'The airplane sustained substantial damage to the right wing and right leading edge.', 'The airplane sustained substantial damage.']",Wing Skin Damage
3,172,topic_3,"['gear', 'landing gear', 'landing', 'main', 'main landing gear', 'main landing', 'left main', 'left main landing', 'left', 'nose']","['the left main landing gear remained in its up and locked position.', 'During the initial approach, the left main landing gear (main landing gear) failed to lower and lock .', 'The airplane landed on a fully extended nose and right main landing gear, but the left main landing gear was not extended.']",Main Gear Collapse
4,144,topic_4,"['controller', 'traffic', 'crew', 'information', 'control', 'radar', 'provided', 'captain', 'contact', 'traffic control']","['Neither the SOP nor the Below-Wing Operations Manual provided guidance for pushback procedures with an inoperative auxiliary power unit during low traction ramp conditions.', ""an air traffic control service interruption occurred at the Ronald Reagan Washington National Airport (DCA) when two air carrier aircraft, a helicopter, an airport operations vehicle and controllers at the FAA's Potomac Terminal Radar Approach Control (PCT) were unable to establish contact with the supervisory controller working alone in the control tower."", 'During the 40 minutes in Jacksonville air route traffic control center airspace, air traffic control attempted to contact the Cirrus on frequency 132.1 and VHF Guard 121.5 on multiple occasions']",Controller Error
5,129,topic_5,"['tug', 'tow', 'tow bar', 'bar', 'brakes', 'baggage', 'rudder', 'captain', 'driver', 'brake']","['The ground agent reported that the mechanic had difficulty unhooking the tow bar from the airplane and began jumping on it and standing in front of the nose gear.', 'The ground agent reported that the mechanic had difficulty unhooking the tow bar from the airplane and began jumping on it and standing in front of the nose gear.', 'The ground agent reported that the mechanic had difficulty unhooking the tow bar from the airplane and began jumping on it and standing in front of the nose gear.']",Tug Overrun
6,123,topic_6,"['fatigue', 'crack', 'fracture', 'surface', 'corrosion', 'consistent', 'bearing', 'cracks', 'propagated', 'cracking']","['The fatigue zone extended outwards almost uniformly through the wall thickness of the end cap, with a preference to the shuttle valve bore, and had propagated entirely through the thickness near the after side (as installed with the landing gear extended) of the end cap.', 'The fracture surface contained an area of intergranular fracture morphology with visible beach marks, consistent with hold-time fatigue growth and the remaining fracture surface was consistent with overload fracture (Figure 2).', 'The fracture surface contained an area of intergranular fracture morphology with visible beach marks, consistent with hold-time fatigue growth and the remaining fracture surface was consistent with overload fracture (Figure 2).']",Fatigue Crack
7,118,topic_7,"['turbulence', 'encountered', 'moderate', 'severe', 'severe turbulence', 'feet', '000', 'moderate turbulence', '000 feet', 'seconds']","['While descending through 15,000 feet, the airplane encountered moderate turbulence for several seconds.', 'At about 24,000 feet, the airplane encountered moderate then severe turbulence for about 11 seconds.', 'the airplane encountered turbulence']",Turbulence Encounter
8,101,topic_8,"['fuel', 'ring', 'found', 'particles', 'housing', 'threads', 'engine', 'foot pounds', 'adapter', 'pipe']","['The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.', 'Examination of the rigid fuel pipe, hydraulic interface panel, and FM-13 hose by the Airbus Materials Laboratory in Bremen, Germany, found that the FM-13 hose and rigid fuel pipe flange faces were deformed, the rigid fuel pipe was mounted on the wrong side of the hydraulic interface panel, and the radial offset due to the improper rigid fuel pipe installation was about 6.27 middle marker.', 'The in-service mounting bolt torque values on the 14 brake assemblies measured averaged 104 foot-pounds with a minimum measured torque of 35 foot-pounds and a maximum of 175 foot-pounds.']",Fuel System Failure
